Type of wine,Name,Winery,Country,Region,Rating,NumberOfRatings,Year,Price,Rating Price Ratio,Rating category
Red,Garnacha de Arrayán 2014,Arrayán,Spain,Castilla y León,3.7,101,2014,21.9,0.16894977168949774,Low
Red,Cabernet Sauvignon 2018,Valdivieso,Chile,Central Valley,3.3,101,2018,7.6,0.4342105263157895,Medium
Red,Terrenus Vinhas Velhas Reserva 2013,Rui Reguinga,Portugal,Alentejano,4.1,101,2013,27.95,0.14669051878354203,Low
Red,Fronsac 2005,Château Villars,France,Fronsac,3.8,101,2005,25.95,0.1464354527938343,Low
Red,Cuvée Charles de Batz Madiran 2014,Domaine Berthoumieu,France,Madiran,3.7,101,2014,14.09,0.262597586941093,Low
Red,Stony Terrace Cabernet Sauvignon 2016,Rutherford Wine Company,United States,Napa Valley,3.8,101,2016,18.03,0.2107598447032723,Low
Red,12 e Mezzo Puglia Primitivo Organic Wine 2016,Varvaglione,Italy,Puglia,3.9,101,2016,9.4,0.4148936170212766,Medium
Red,El Abuelo Selección Edición Limitada 2013,Bodegas Piqueras,Spain,Almansa,4.2,101,2013,10.95,0.3835616438356165,Medium
Red,Sangre de Toro Special Selection 2017,Torres,Spain,Catalunya,3.6,101,2017,8.9,0.4044943820224719,Medium
Red,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,Paul Mas,France,Languedoc,3.8,101,2018,11.05,0.34389140271493207,Medium
Red,Merlot 2018,Les Jamelles,France,Pays d'Oc,3.6,101,2018,5.36,0.6716417910447761,Excellent
Red,Roscaleto Barbera d'Alba 2015,Enzo Boglietti,Italy,Barbera d'Alba,3.9,101,2015,31.18,0.12508017960230916,Low
Red,Barolo Cannubi 2014,Giacomo Fenocchio,Italy,Barolo,4.0,101,2014,39.9,0.10025062656641605,Low
Red,Pauillac (Premier Grand Cru Classé) 2017,Château Mouton Rothschild,France,Pauillac,4.6,101,2017,633.62,0.0072598718474795616,Low
Red,Cabernet Sauvignon 2014,Stimson Estate Cellars,United States,Washington,3.3,101,2014,8.29,0.39806996381182147,Medium
Red,Côte-Rôtie Le Gallet Blanc 2017,Francois Villard,France,Côte-Rôtie,4.4,101,2017,48.0,0.09166666666666667,Low
Red,Capatosta 2015,Poggio Argentiera,Italy,Toscana,3.8,101,2015,19.9,0.19095477386934673,Low
